law,sample_number,unit_id,n_words,decision,annotations,quality_flags,previous_same_utterance,previous_same_actor,next_same_utterance,next_same_actor
21419,1,utt_37aa049c0111f0e26ebc::p0003,98,no_statements,0,,True,True,True,True
21419,2,utt_1dbe6f2dc32ba8e1c8bb::p0001-p0003,133,no_statements,0,,False,False,True,True
21419,3,utt_5116533e3611e77af149::p0001-p0003,126,statements,2,,False,False,True,True
21419,4,utt_b99b67d3e9ccc449ff45::p0001,112,no_statements,0,,False,False,True,True
21419,5,utt_760c32fa86a5d52dc3e4::p0012-p0013,98,no_statements,0,,True,True,True,True
21419,6,utt_b21d793054a79b4d5568::p0005s001,150,no_statements,0,vote,True,True,True,True
21419,7,utt_8b0ee42a34638e95e7ef::p0011,54,statements,1,,True,True,True,True
21419,8,utt_ebf7e3744ad319130b60::p0015-p0016,95,statements,1,,True,True,False,False
21419,9,utt_d14a80167cb6070db781::p0001-p0003,51,no_statements,0,vote,False,True,False,True
21419,10,utt_2fd7397f6f75a08e9a2a::p0005-p0006,63,no_statements,0,procedural,True,True,False,False
21419,11,utt_65794d6d971ec4de9dca::p0001,18,no_statements,0,too_short,False,False,False,False
21419,12,utt_12936eced6d4067f7002::p0005,33,statements,1,,True,True,True,True
21419,13,utt_5228501d1f6af06fbf94::p0003s003-p0004,85,no_statements,0,vote,True,True,False,True
21419,14,utt_aae16cfc24f46ded2c70::p0007,13,no_statements,0,truncated,True,True,False,False
21419,15,utt_774559cd67c438850a30::p0002,71,statements,1,,True,True,True,True
21419,16,utt_5228501d1f6af06fbf94::p0001-p0002,9,no_statements,0,vote,False,True,True,True
21419,17,utt_34dec9d9e6eae9ed12df::p0015-p0017,107,no_statements,0,other,True,True,False,False
21419,18,utt_b9341b57a7bc037f529c::p0005,68,no_statements,0,,True,True,True,True
21419,19,utt_05443dabe786db4fee5a::p0005s002,14,no_statements,0,vote,True,True,False,True
21419,20,utt_30bcedbb4dd0ba022ce5::p0004,59,no_statements,0,,True,True,True,True
21538,1,utt_c40042f779ebe8138259::p0006,108,statements,1,,True,True,True,True
21538,2,utt_ac5d6be4b0a3b9d49fd2::p0011,72,no_statements,0,other,True,True,True,True
21538,3,utt_f61b5bad10326b62c018::p0001,51,no_statements,0,,False,False,False,False
21538,4,utt_0942156d65780aaac72d::p0006,71,statements,1,,True,True,True,True
21538,5,utt_b0d02f6f538c59874a61::p0032,78,no_statements,0,,True,True,False,True
21538,6,utt_e1a3192cd687754b80cb::p0003,56,no_statements,0,,True,True,True,True
21538,7,utt_5df9b3e4079cda4206fd::p0001-p0004,127,statements,1,,False,False,True,True
21538,8,utt_b1a554e83bfa8e2aad15::p0006,57,no_statements,0,,True,True,True,True
21538,9,utt_fe7234a44c91cc4364e2::p0001-p0002,5,no_statements,0,vote,False,True,True,True
21538,10,utt_d0b889a2d0191fecf912::p0005-p0006,93,no_statements,0,,True,True,True,True
21538,11,utt_6bb7528fedab2e4d0bcf::p0001,5,no_statements,0,,False,False,False,False
21538,12,utt_0942156d65780aaac72d::p0010,52,statements,1,,True,True,True,True
21538,13,utt_24076c18c3fdcff954ca::p0002,111,statements,1,,True,True,True,True
21538,14,utt_cbd165e541e063cf008c::p0001-p0004,137,statements,2,,False,False,True,True
21538,15,utt_902ee03ebf7e32198b3f::p0003,107,no_statements,0,,True,True,True,True
21538,16,utt_5a9e5255e01e1acea9c9::p0001,11,no_statements,0,too_short,False,False,False,False
21538,17,utt_a13cd7a8f252721eae47::p0004-p0005,52,statements,1,,True,True,False,False
21538,18,utt_8f0f0c34eaba2b5f9365::p0003-p0004,137,statements,2,,True,True,True,True
21538,19,utt_f3ddaf7e7f9689a46adb::p0008-p0010,96,no_statements,0,,True,True,False,False
21538,20,utt_0deedd57a4d8e7017f09::p0003s001,150,no_statements,0,vote,True,True,True,True
