law,unit_id,utterance_id,n_words,utterance_words,utterance_chunks,previous_words_same_utterance,next_words_same_utterance,mergeable_whole_neighbor,content
21419,utt_c5aeaedcaf3f276cccc5::p0001-p0002,utt_c5aeaedcaf3f276cccc5,21,21,1,,,False,"Gracias, señor Secretario .

Le damos la palabra a la Presidenta de la Comisión de Trabajo para que rinda el correspondiente informe."
21419,utt_27fa1148233ba1b93098::p0001-p0002,utt_27fa1148233ba1b93098,32,32,1,,,False,"Muchas gracias, Senadora Goic, por el informe de la Comisión del Trabajo.

Vamos a dejar a la Senadora Ximena Rincón, Presidenta de la Comisión de Hacienda, para que rinda el respectivo informe."
21419,utt_6e536d62f8d7e71ff348::p0001-p0002,utt_6e536d62f8d7e71ff348,34,34,1,,,False,"Gracias, Presidente.

Antes de iniciar mi exposición, quiero hacer presente que se acercó a la Mesa el Senador Elizalde indicando que no tenía inconveniente para autorizar el ingreso a la Sala del Subsecretario Pavez."
21419,utt_d18051ba9c20ae374ae1::p0001,utt_d18051ba9c20ae374ae1,5,5,1,,,False,¿Habría acuerdo en tal sentido?
21419,utt_22e14c4fc73cd0f82bff::p0001-p0002,utt_22e14c4fc73cd0f82bff,5,5,1,,,False,"Sí.

--Se autoriza el ingreso."
21419,utt_b997e64d9406fa369c5c::p0001-p0002,utt_b997e64d9406fa369c5c,28,28,1,,,False,"Muchas gracias, Senadora Rincón .

No sé si el Ejecutivo , a través del Ministro Melero, presente telemáticamente, o del Subsecretario, que está en la Sala, va a decir algo."
21419,utt_5d08c825f06e1f85d095::p0001-p0003,utt_5d08c825f06e1f85d095,28,28,1,,,False,"A usted, señor Ministro .

Vamos a proceder a la apertura de la votación.

Cada Senador podrá ir fundamentando su voto, y así podemos ir avanzando en el debate."
21419,utt_d5e76a530218d17dd5c0::p0001-p0003,utt_d5e76a530218d17dd5c0,38,38,1,,,False,"Vamos a hacer una sola votación.

Las normas son de quorum calificado y hasta el momento no hay peticiones de votaciones separadas.

Como viene todo aprobado, con una votación inmediatamente podemos aprobar en general y en particular, y..."
21419,utt_72e68f07ecb0fb82250e::p0001,utt_72e68f07ecb0fb82250e,5,5,1,,,False,Que se mantengan los tiempos.
21419,utt_bbc13cd9ec82d4efe736::p0001-p0002,utt_bbc13cd9ec82d4efe736,12,12,1,,,False,"Sí. Manteniendo los tiempos, por supuesto...

Senador Letelier, ¿usted quiere decir algo?"
