unit_id,utterance_id,law_number,document_uri,sample_index,status,model,decision,n_annotations,needs_human_review,decision_justification,limitations,quality_flags,validation_errors,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens
utt_826958a471b195e53f39::p0001-p0002,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,0,completed,gpt-5.6-luna,no_statements,0,False,"El bloque solo describe la rendición de un informe, la tramitación del proyecto, su urgencia y los asistentes a la comisión. No contiene una justificación normativa sobre cómo debe organizarse, financiarse, distribuirse o gobernarse la protección previsional.",,"[""procedural""]",[],5926,385,5923,289
utt_826958a471b195e53f39::p0003-p0005,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,1,completed,gpt-5.6-luna,no_statements,0,False,"El bloque describe la tramitación legislativa, la competencia de la Comisión de Hacienda y los artículos revisados, pero no formula una justificación normativa sobre cómo debe organizarse, distribuirse, financiarse o gobernarse la protección previsional.",,"[""procedural""]",[],6076,467,5336,375
utt_826958a471b195e53f39::p0006-p0011,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,2,completed,gpt-5.6-luna,statements,1,True,El bloque contiene una justificación normativa explícita al presentar una pensión garantizada universal como objetivo y mecanismo para mejorar la protección previsional.,"La anotación no codifica los requisitos de focalización como necesidad material porque se formulan como condiciones de acceso, sin expresar que la carencia económica sea el fundamento distributivo.",[],[],6058,7077,5336,6732
utt_826958a471b195e53f39::p0012-p0017,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,3,completed,gpt-5.6-luna,no_statements,0,False,"El bloque objetivo describe montos, reajustes, coberturas, criterios de focalización, asignación automática y financiamiento, pero no ofrece una justificación normativa explícita para esas reglas ni apela a un criterio del libro de códigos.",La codificación se limita al bloque objetivo; los contextos adyacentes no agregan una justificación normativa dentro de este bloque.,[],[],5964,783,5336,668
utt_826958a471b195e53f39::p0018-p0020,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,4,completed,gpt-5.6-luna,statements,2,True,"El bloque contiene una regla explícita de acceso sin distinción y una ampliación de cobertura focalizada en el grupo más vulnerable. Las demás referencias son cifras, alcance del beneficio o trámites administrativos descriptivos.",El extracto resume características de la iniciativa y no desarrolla de manera explícita las razones normativas; la codificación de ambas anotaciones depende de interpretar esas reglas de elegibilidad y focalización como criterios distributivos.,[],[],6016,12409,5336,11912
utt_826958a471b195e53f39::p0021-p0022,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,5,completed,gpt-5.6-luna,no_statements,0,False,"El bloque objetivo describe cantidades de beneficiarios, montos, reajustes y cambios de cobertura. Aunque menciona al 6 por ciento más vulnerable, lo hace como una descripción del alcance del beneficio, sin formular que la necesidad o vulnerabilidad deba justificar una prioridad distributiva. No hay otra justificación normativa explícita codificable.",,[],[],5987,624,5336,516
utt_826958a471b195e53f39::p0023-p0027,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,6,completed,gpt-5.6-luna,no_statements,0,False,"El bloque enumera adiciones legislativas y describe sus efectos técnicos o administrativos: la automaticidad de la entrega, el test de afluencia, el reajuste y la forma de entregar un bono. La referencia a asegurar la recepción automática explica el funcionamiento de la medida, pero no formula una justificación normativa explícita basada en igualdad, necesidad, costos, responsabilidad u otro concepto del libro, ni una justificación nueva claramente diferenciada.",La codificación se limita a la evidencia del bloque objetivo; los contextos no se utilizan porque no son necesarios para interpretar una justificación normativa en este bloque.,[],[],5952,6281,5336,6122
utt_826958a471b195e53f39::p0028,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,7,completed,gpt-5.6-luna,no_statements,0,False,"El bloque describe informes financieros, proyecciones de gasto fiscal, recaudación y medidas del proyecto, pero no usa esos costos o recursos para justificar normativamente limitar, rechazar, focalizar o expandir la protección previsional. Conforme a exclude de conciencia_costos, una proyección o cifra aislada no basta.",,[],[],5878,596,5336,491
utt_826958a471b195e53f39::p0029-p0030,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,8,completed,gpt-5.6-luna,no_statements,0,False,"El bloque describe la presentación de informes financieros, montos, medidas de recaudación y proyecciones de cobertura. Estas son referencias técnicas y procedimentales, sin una afirmación normativa explícita que justifique cómo debe organizarse, financiarse o distribuirse la protección previsional.","No se codifican como justificaciones las menciones descriptivas a la pensión garantizada universal, al gasto fiscal, a la recaudación ni a la cobertura.","[""procedural""]",[],5917,796,5336,661
utt_826958a471b195e53f39::p0031-p0033,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,9,completed,gpt-5.6-luna,no_statements,0,False,"El bloque describe informes financieros, proyecciones de gasto, la aprobación del proyecto y reuniones previas, pero no formula una regla ni un fundamento normativo sobre cómo debe organizarse, financiarse, distribuirse o gobernarse la protección previsional. La aprobación es un dato procedimental aislado.",La codificación se limita a la evidencia literal del bloque objetivo; las referencias contextuales a un trabajo colaborativo y eficiente no se atribuyen al objetivo ni se usan como justificación normativa.,"[""vote""]",[],5841,655,5336,516
utt_826958a471b195e53f39::p0034-p0035,utt_826958a471b195e53f39,21419,http://datos.bcn.cl/recurso/cl/documento/696951,10,completed,gpt-5.6-luna,statements,2,True,"El bloque contiene una valoración causal del trabajo colaborativo como medio para mejorar la reforma y una afirmación explícita sobre el financiamiento del beneficio, ambas conectadas con criterios normativos del libro de códigos.","La evidencia es breve y formula las razones de manera implícita: la colaboración se presenta como eficaz, pero no se la vincula literalmente con acuerdos o moderación, y el financiamiento se afirma sin evaluar su sostenibilidad.",[],[],5749,11465,5336,10876
utt_0a2f90dd109fb6c812c8::p0001-p0002,utt_0a2f90dd109fb6c812c8,21419,http://datos.bcn.cl/recurso/cl/documento/696951,11,completed,gpt-5.6-luna,no_statements,0,False,"El bloque reconoce un derecho parlamentario y formula una propuesta de votación, pero no justifica normativamente cómo debe organizarse, financiarse, distribuirse o gobernarse la protección previsional. Los actos procedimentales aislados no bastan para acuerdos_moderacion.",,"[""procedural""]",[],5484,531,5336,433
utt_f5d978e1dc5bc3628dcc::p0001-p0004,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,12,incomplete,gpt-5.6-luna,,0,,,,[],"[""API status: incomplete""]",5801,16384,5336,16384
utt_f5d978e1dc5bc3628dcc::p0005-p0006,utt_f5d978e1dc5bc3628dcc,21419,http://datos.bcn.cl/recurso/cl/documento/696951,13,completed,gpt-5.6-luna,no_statements,0,False,"El bloque objetivo contiene evaluaciones de suficiencia, comparaciones descriptivas de rankings y una mención general a que el paso requiere sacrificios, pero no formula un criterio explícito del libro sobre la organización, distribución, financiamiento o gobierno de la protección previsional. La orientación de compararse con países mejor posicionados es una aspiración general, no una justificación codificable en este libro.","No se especifica qué sacrificios implica la reforma ni se vinculan con una restricción fiscal, regla distributiva o mecanismo previsional; las afirmaciones normativas de los bloques de contexto no se atribuyen al objetivo.",[],[],5850,8867,5336,8702
