law,utterance_id,n_words,content,has_other_chunks
21419,utt_4d9961bfb2b71e657622,2,Muchas gracias.,True
21419,utt_f341957cdb85912bc40f,2,He dicho.,True
21419,utt_2a4ede788d2882e684bd,2,"Gracias, Presidente.",False
21419,utt_74211ec8e118b1132b68,3,¡Estaba dentro ya...!,False
21419,utt_7e11648ef95d30d9539d,4,"¿Cómo se vota, Presidente?",False
21419,utt_8ec6d2f71de95c59c730,2,¿Senador Coloma?,False
21419,utt_bed94c616edb143b7ddb,3,"Muchas gracias, Senadora.",False
21419,utt_d04d882171a424411cb3,4,"Complete la frase, Senador.",False
21419,utt_25205c955d9e3eceebef,4,"Muchas gracias, Senadora Rincón .",False
21419,utt_c983d1e862d3b5381515,3,¡Eso! ¡Muy bien!,False
21419,utt_63509645ed975b9fe2cc,2,¡Sangre nueva...!,False
21419,utt_1963e12a298375c16a08,3,"Gracias, Senador Castro.",False
21419,utt_4894a1b89c9e50ca872e,4,"Muchas gracias, Senadora Provoste.",False
21419,utt_f5f4bdcd52c2b9e7f462,4,"A usted, Senador Guillier.",False
21419,utt_521b373b426373cebbe8,4,"Muchas gracias, Senador Kast.",False
21419,utt_e4ea8d738b1ab963fb9b,3,"Gracias, Senador Quinteros.",False
21419,utt_2513911a0d44d412a979,3,"Gracias, Senador Navarro.",False
21419,utt_a77b42102d3bb826bdac,3,Conversémoslo en Comités.,False
21419,utt_fdbcac5cb2a6ed029aac,4,Seguimos con el debate.,False
21419,utt_9f21e459e350b8143a22,3,"Gracias, Senador Alvarado.",False
21419,utt_9891a41310e8ff1fff83,1,Sí.,False
21419,utt_cfc8a766d8c6d425f344,4,Pueden conversar allá atrás.,False
21419,utt_1b0c5fe0c24856731a02,4,"Muchas gracias, Senador Insulza.",False
21419,utt_3a186a73471550b5942f,4,"Muchas gracias, Senadora Ebensperger.",False
21419,utt_00f7eb1c96b5a50193ba,3,Terminada la votación.,False
21419,utt_cd40d07e05cb0123d72b,3,De ser posible.,False
21419,utt_af88f7c63a1e2513e8af,2,Senador Navarro.,False
21419,utt_d34a0491abe18b4eb82c,2,Senador Navarro.,False
21419,utt_c53bdc48880e4b034b07,1,Perfecto.,False
21419,utt_dc783cb9c4454d902108,3,"Termine, señor Senador.",False
21419,utt_590af119c4a458fd8dc7,1,¿Qué?,False
21419,utt_3b8b6db16304db1305d8,4,Es lo que corresponde.,False
21419,utt_c89cd7687805bbddf1c1,3,¡Es la indicación!,False
21419,utt_bb56f86f404fa42e21b6,2,Por favor...,False
21419,utt_b34540955e55d7914b3e,3,Hay una propuesta.,False
21419,utt_8fc721b976543d36ec80,1,¿Cómo?,False
21419,utt_2e34fc3f8fb3d0a61712,3,Le pido suspensión.,False
21419,utt_d2c03995ff49d29a5162,3,Continúa la sesión.,False
21419,utt_2a45de8ac6a1db930e36,3,"Sí, está bien.",False
21419,utt_0f24c0ffe534a72a9053,4,"¿Está pidiéndolo formalmente, colega?",False
21419,utt_ee23ca43064b69745dcc,3,Formalmente lo pido.,False
21419,utt_7f049f9afbd5701f9d33,3,Continúa la sesión.,False
21419,utt_dedd8e7df042db09a394,4,"Muchas gracias, Senador Navarro.",False
21419,utt_b69ef1778e3c084201a3,3,"Gracias, Senador Letelier.",False
21419,utt_82950c2a0709402530b9,4,"A usted, Senador Montes.",False
21419,utt_a18b49f774ad8b51d346,2,"Gracias, Senador.",False
21419,utt_1f6cd58c2296a47e7a7e,4,"A usted, Senadora Órdenes.",False
21419,utt_bf562cee7bfb183f429c,3,"Gracias, Senador Elizalde.",False
21419,utt_5c2b5f874a031c083b09,4,"A usted, Senador Bianchi.",False
21419,utt_baf4e614ca20f8e6010e,3,"Gracias, Senador Lagos.",False
21419,utt_81468d3f91fafae78249,3,"¿Me permite, Presidenta ?",False
21419,utt_23556a72852d809cee83,3,"Gracias, Senadora Allende.",False
21419,utt_1b38bd78fbea8a3d2deb,3,"Gracias, Senador Galilea.",False
21419,utt_e23a590215b640f0c76d,3,"Gracias, Senador Coloma.",False
21419,utt_948636c51f49128b9ba8,3,"Gracias, Senador Pizarro.",False
21419,utt_cc4cecb958021f596602,3,Terminada la votación.,False
21419,utt_9c2ff385d6651acead57,3,Despachado el proyecto.,False
21538,utt_202e73f21a1359d2d052,4,"Ya fueron saludados, diputada.",False
21538,utt_1f5f4dd50bde7fe74b1d,4,"Muchas gracias, Senador Cruz-Coke.",False
21538,utt_daed8da33cd204092b43,2,Una carta.,False
21538,utt_0a79b45f1030b5ef411f,1,Gracias.,False
21538,utt_33b5040c3703dedc0233,3,Manteniendo los tiempos.,False
21538,utt_d50b792a47ad7551bb69,3,Manteniendo los tiempos.,False
21538,utt_6cc9fbc08736afae58db,3,No: eran tres.,False
21538,utt_7c83118da41814539cec,2,En votación.,False
21538,utt_681199cfb8c0a69ebcd5,2,Eran tres.,False
21538,utt_e3105b6b8f5732d233c4,3,"Empiece, Senador Moreira.",False
21538,utt_895e0b872a0f5bff4360,3,"¡Aquí estoy, Presidenta !",False
21538,utt_a4faf1802b54441617ff,2,¡Siempre está...!,False
21538,utt_a657ab6d6e5fd1416873,2,"Gracias, Senador.",False
21538,utt_ddbe63fe6ea1b08f7e09,3,"A usted, Senador.",False
21538,utt_938568420da6d0028115,3,"A usted, Senadora.",False
21538,utt_57322f14a3f0273af6a2,2,"Gracias, Senador.",False
21538,utt_cd70e989c565fde9823d,2,"Gracias, Senadora.",False
21538,utt_817f5e9184284fa1c907,2,"Gracias, Senador.",False
21538,utt_b07195d9b70b27ebbe9f,4,"Gracias a usted, Senadora.",False
21538,utt_21ffa724160efdf2b16f,2,"Gracias, Senador.",False
21538,utt_24e3c6cd85afe8f52e15,3,Terminada la votación.,False
