law,sample_number,annotation_number,unit_id,annotation_id,concept_id,stance,span,start_char,end_char,review
21419,3,1,utt_5116533e3611e77af149::p0001-p0003,c22eed07-cbb6-4fa1-9e88-7655b906e81d,necesidad_material,support,"las personas tienen pensiones indignas y miserables que están bajo la línea de la pobreza, las que los condenan, al final de sus días, a una vida de miseria.",325,482,Mantener `necesidad_material/support`: pobreza y miseria justifican mejorar pensiones.
21419,3,2,utt_5116533e3611e77af149::p0001-p0003,58fdf70a-4161-4171-8c6d-dff8f688885d,capitalizacion_individual,oppose,el ahorro individual de las trabajadoras y de los trabajadores en Chile es muy bajo y completamente insuficiente para asegurar pensiones dignas en nuestro país.,520,680,Mantener `capitalizacion_individual/oppose`: se afirma expresamente la insuficiencia del ahorro individual para asegurar pensiones dignas.
21419,7,1,utt_8b0ee42a34638e95e7ef::p0011,b478faf0-738d-42ed-87ac-4e91d59d5d7f,control_responsabilidad_individual,oppose,"Las bajas pensiones no se deben, como afirma majaderamente la propaganda AFP, a salarios bajos y empleos precarios, que ciertamente lo son, puesto que aún con estos salarios bajos y empleos precarios la recaudación de cotizaciones obligatorias siempre ha más que duplicado el pago de pensiones",0,293,"Retirar `control_responsabilidad_individual/oppose` de esta evidencia. La nota humana interpreta responsabilidad del contribuyente, pero el target discute salarios y precariedad como explicaciones de pensiones bajas. No se formula una conducta controlable ni un merecimiento individual. El libro excluye ese tipo de diagnóstico estructural. La crítica institucional del contexto necesita otra evidencia y no obliga a sustituir automáticamente el código."
21419,8,1,utt_ebf7e3744ad319130b60::p0015-p0016,fc4555cf-d781-4b68-80f8-cdd7b7423998,ilegitimidad_origen_dictatorial,support,"Finalizo , Presidente , haciendo mención al poder del diálogo. El hecho de que hoy estemos discutiendo este proyecto es una muestra de que quienes estamos en política logramos buenos resultados cuando nos ponemos de acuerdo. No poniendo atención al cálculo político pequeño, sino que mirando y escuchando al país.",0,313,Cambiar `ilegitimidad_origen_dictatorial/support` por `acuerdos_moderacion/support`. El fragmento invoca el poder del diálogo y los buenos resultados de ponerse de acuerdo. No ofrece ninguna razón sobre el origen autoritario del sistema previsional. Parece un error de selección del concepto.
21419,12,1,utt_12936eced6d4067f7002::p0005,8c6d6fd3-dd98-4bd0-aef1-505158a8dee9,capitalizacion_individual,oppose,"Pero, más allá de la medalla para Piñera y de la cuenta para Boric, quiero decir que este proyecto no puede terminar matando todo el esfuerzo de la ciudadanía de ""No más AFP"".",0,175,"Revisar `capitalizacion_individual/oppose`: defender el esfuerzo de «No más AFP» no identifica por sí mismo la regla de ahorro individual o autofinanciamiento requerida. Puede registrarse como argumento sobre mandato ciudadano o cambio institucional pendiente de delimitación. El fragmento de 33 palabras se une al anterior de 121, quedando en 154. La mejora de contexto no valida automáticamente la asignación original."
21419,15,1,utt_774559cd67c438850a30::p0002,bbd74d88-7957-4c66-8be2-6666a5d7f1d0,igualdad_universalismo,support,lo que implica un catálogo de derechos que a nuestros ciudadanos les corresponde en justicia. Es una mirada de país y de trato distinto respecto de cómo comenzamos a generar beneficios en materia de pensiones.,221,430,Mantener `igualdad_universalismo/support`. El reconocimiento de derechos de ciudadanía respalda el código. Ampliar el inicio del span hasta «Pasar a una pensión garantizada universal» permitiría conservar el antecedente de «lo que implica» y unir el cambio defendido con su justificación.
21538,1,1,utt_c40042f779ebe8138259::p0006,4c13fb79-f108-42f8-b979-f02a390715dc,igualdad_universalismo,support,"la pensión de una mujer que haya trabajado el mismo tiempo que un hombre, y en las mismas condiciones, será 16,7 por ciento menor. Sin duda, estimados colegas, la forma y manera de reducir esa brecha es comenzando a entregar este beneficio social desde los 60 años, evitando así que miles de mujeres deban postergar su edad de jubilación a la espera de un beneficio que les pueda mejorar en algo la pensión que reciben a fin de mes",58,489,Mantener `igualdad_universalismo/support`. Se propone anticipar el beneficio para corregir una brecha entre mujeres y hombres que trabajaron en condiciones comparables. La comparación y la medida correctiva aparecen juntas. El trabajo cumple una función comparativa y no exige añadir reciprocidad.
21538,4,1,utt_0942156d65780aaac72d::p0006,425ea9a4-3ec4-4e7c-819c-2da6e29b6eae,conciencia_costos,oppose,"Obviamente, hay una explicación razonable -no sé si razonable, pero sí entendible desde el punto de vista financiero- para que las mujeres no puedan recibir la PGU sino hasta que hayan transcurrido cinco años desde que llegan a la edad de jubilación, es decir, a los sesenta y cinco años: que es -como dijo la Ministra - muy caro. Los cálculos del Gobierno hablan de que ello costaría 1.200 millones dólares.",0,408,"Revisar `conciencia_costos/oppose`. El actor cita a la ministra y concede que la explicación es entendible financieramente, aunque duda de su razonabilidad. La incorporación gradual de mujeres se propone después. Ese apoyo a expandir cobertura no determina por sí solo rechazo de la razón de costos. No cambiar automáticamente a `support`: adjudicar la voz, la concesión y la justificación que se acepta o rebate."
21538,7,1,utt_5df9b3e4079cda4206fd::p0001-p0004,a632987a-92a4-40a0-a8b7-7e9df86397ff,capitalizacion_individual,oppose,"este no es un verdadero sistema de pensiones, no es un sistema de seguridad social. De ahí que me parece tan pertinente que también demos este debate en el marco de una reforma profunda al sistema de pensiones.",543,753,"Revisar `capitalizacion_individual/oppose`. La evidencia reclama un verdadero sistema de seguridad social y una reforma profunda, sin nombrar ahorro propio, cuentas individuales o autofinanciamiento. Registrar el argumento institucional para evaluar cobertura conceptual. La mención a la transición democrática tampoco basta para asignar origen dictatorial."
21538,12,1,utt_0942156d65780aaac72d::p0010,78d3190b-edf1-4a72-8ff8-9d7faa6f430b,igualdad_universalismo,support,"Claramente es positivo y buena noticia aumentar la cobertura, modificando el parámetro desde el 90 por ciento de los mayores de sesenta y cinco años al 90 por ciento de la población total; aumenta el número de beneficiarios, incluyendo gente que fue rechazada por no corresponderle el beneficio, según la métrica anterior.",0,322,"Mantener provisionalmente `igualdad_universalismo/support` si la valoración positiva de incorporar excluidos se admite como razón suficiente. Aquí se califica como buena noticia el aumento de cobertura, aunque no se nombre un derecho universal. Añadir esa regla y un contraejemplo descriptivo como 21538-08 o 10. No hace falta exigir literalmente la palabra igualdad."
